brand,model,processor_brand,processor_name,processor_generation,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,touchscreen,microsoft_office,latest_price,old_price,discount,star_rating,ratings,reviews,latest_price_myr,old_price_myr,discount_myr,total_storage_gb,storage_type,performance_category,price_category,brand_popularity,value_score
Lenovo,IdeaPad,Intel,Celeron Dual,Unknown,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,31799,36999,14,0.0,0,0,1539.07,1790.75,14.05,256,SSD,Basic,Budget,145,0.0
ASUS,VivoBook,Intel,Celeron Dual,Unknown,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,0,False,False,29890,33990,12,4.0,7,0,1446.68,1645.12,12.06,256,SSD,Basic,Budget,242,0.019354660325711284
ASUS,Celeron,Intel,Celeron Dual,Unknown,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,1,False,False,23990,26990,11,3.8,15279,1947,1161.12,1306.32,11.12,1024,HDD,Basic,Budget,242,50.00361719718892
HP,15q,Intel,Core i3,7th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,0,False,False,32955,0,0,4.2,311,27,1595.02,0.0,-inf,1024,HDD,Basic,Budget,142,0.8189239006407444
HP,250-G6,Intel,Core i5,7th,4,DDR4,0,1024,Windows,32-bit,2,Casual,15.6,0,False,False,46200,0,0,4.2,47,7,2236.08,0.0,-inf,1024,HDD,Medium,Mid-range,142,0.08827948910593539
ASUS,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,34429,49990,31,4.1,37,6,1666.36,2419.52,31.13,256,SSD,Basic,Budget,242,0.09103675076214023
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,15.6,2,False,True,37990,57990,34,4.3,2080,235,1838.72,2806.72,34.49,256,SSD,Medium,Budget,145,4.864253393665158
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,1,False,True,35990,49990,28,4.3,1479,181,1741.92,2419.52,28.01,256,SSD,Basic,Budget,242,3.650971341967484
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,33980,46990,27,4.4,67,3,1644.63,2274.32,27.69,256,SSD,Medium,Budget,242,0.17925004408286363
HP,Unknown,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,True,39990,50085,20,4.2,273,30,1935.52,2424.11,20.16,256,SSD,Medium,Budget,142,0.5923989418864182
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,True,39490,43312,8,4.3,1267,171,1911.32,2096.3,8.82,256,SSD,Medium,Budget,154,2.850438440449532
RedmiBook,15,Intel,Core i3,11th,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,15.6,1,False,False,38990,51999,25,4.3,1063,152,1887.12,2516.75,25.02,256,SSD,Medium,Budget,3,2.422156513629234
HP,Pavilion,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14.0,1,True,True,53990,63510,14,4.6,14,0,2613.12,3073.88,14.99,256,SSD,Medium,Mid-range,142,0.02464486896889542
acer,Aspire,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,38990,52999,26,0.0,0,0,1887.12,2565.15,26.43,256,SSD,Medium,Budget,58,0.0
realme,Book,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,True,46990,54999,14,4.4,6352,1014,2274.32,2661.95,14.56,256,SSD,Medium,Mid-range,4,12.288859966935172
ASUS,Unknown,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,37990,52990,28,4.3,284,39,1838.72,2564.72,28.31,256,SSD,Medium,Budget,242,0.6641576749042812
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14.0,1,False,True,37890,51990,27,4.6,44,5,1833.88,2516.32,27.12,256,SSD,Medium,Budget,242,0.11036709054027524
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,False,38990,60890,35,4.2,33,4,1887.12,2947.08,35.97,256,SSD,Medium,Budget,145,0.07344524990461657
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,37990,57990,34,4.2,286,36,1838.72,2806.72,34.49,256,SSD,Medium,Budget,145,0.6532805429864253
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.96,1,False,True,41990,54510,22,3.6,10,5,2032.32,2638.28,22.97,256,SSD,Medium,Mid-range,154,0.01771374586679263
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,45990,58990,22,4.5,816,147,2225.92,2855.12,22.04,256,SSD,Medium,Mid-range,242,1.6496549741230593
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,39990,61590,35,4.3,543,65,1935.52,2980.96,35.07,256,SSD,Medium,Budget,145,1.20634248160701
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,42490,59654,28,4.8,9,1,2056.52,2887.25,28.77,256,SSD,Medium,Mid-range,154,0.02100636025907844
Infinix,INBook,Intel,Core i3,10th,8,LPDDR4X,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,32990,49999,34,4.3,1221,265,1596.72,2419.95,34.02,256,SSD,Medium,Budget,3,3.2881782654441607
DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,True,36990,40614,8,4.3,1178,137,1790.32,1965.72,8.92,256,SSD,Basic,Budget,154,2.8293266008311364
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14.0,1,True,True,53990,75490,28,4.4,299,41,2613.12,3653.72,28.48,256,SSD,Medium,Mid-range,145,0.5034594660788636
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,36990,52990,30,4.4,20,1,1790.32,2564.72,30.19,256,SSD,Medium,Budget,242,0.049153224004647215
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,2,False,False,38940,48200,19,4.3,758,64,1884.7,2332.88,19.21,256,SSD,Basic,Budget,145,1.729399904494084
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.0,1,False,True,39490,55490,28,4.4,634,64,1911.32,2685.72,28.83,256,SSD,Basic,Budget,154,1.4595148902329282
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,2,False,True,39999,59999,33,5.0,4,0,1935.95,2903.95,33.33,256,SSD,Medium,Budget,145,0.010330845321418425
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,42990,56776,24,4.3,17,2,2080.72,2747.96,24.28,256,SSD,Medium,Mid-range,154,0.03513206966819178
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14.0,1,True,False,49990,68658,27,4.2,24,5,2419.52,3323.05,27.19,256,SSD,Medium,Mid-range,154,0.04166115593175507
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,True,41490,55448,25,4.3,1753,165,2008.12,2683.68,25.17,256,SSD,Medium,Mid-range,154,3.753709937653128
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.96,0,False,False,41990,57670,27,4.2,216,21,2032.32,2791.23,27.19,256,SSD,Medium,Mid-range,154,0.44638639584317436
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,1,False,True,41990,57290,26,4.4,1084,160,2032.32,2772.84,26.71,256,SSD,Medium,Mid-range,145,2.346874507951504
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,38490,51990,25,3.8,19,3,1862.92,2516.32,25.97,256,SSD,Medium,Budget,242,0.03875636098168467
Lenovo,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.0,1,False,True,38990,51544,24,4.4,106,13,1887.12,2494.73,24.36,256,SSD,Basic,Budget,145,0.24714909491712242
Lenovo,ThinkPad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,True,44990,59239,24,4.1,42,4,2177.52,2867.17,24.05,256,SSD,Basic,Mid-range,145,0.07908078915463462
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,36490,53790,32,0.0,0,0,1766.12,2603.44,32.16,256,SSD,Basic,Budget,145,0.0
Lenovo,Unknown,Intel,Core i3,10th,8,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,38970,56590,31,0.0,0,0,1886.15,2738.96,31.14,256,SSD,Medium,Budget,145,0.0
HP,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,44900,51000,11,4.2,1029,107,2173.16,2468.4,11.96,256,SSD,Basic,Mid-range,142,1.9887168915312265
MSI,Unknown,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,38990,53900,27,4.5,53,11,1887.12,2608.76,27.66,256,SSD,Basic,Budget,50,0.12638305990080123
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,44427,0,0,0.0,0,0,2150.27,0.0,-inf,256,SSD,Basic,Mid-range,154,0.0
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,35990,46990,23,0.0,0,0,1741.92,2274.32,23.41,256,SSD,Basic,Budget,242,0.0
Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,True,40200,49999,19,3.9,48,1,1945.68,2419.95,19.6,256,SSD,Basic,Budget,145,0.09621314913038115
Lenovo,Unknown,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,40990,56800,27,3.7,3,0,1983.92,2749.12,27.83,256,SSD,Basic,Budget,145,0.005594983668696319
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,42490,54723,22,0.0,0,0,2056.52,2648.59,22.35,256,SSD,Basic,Mid-range,154,0.0
realme,Book,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,47999,54999,12,4.4,6352,1014,2323.15,2661.95,12.73,256,SSD,Basic,Mid-range,4,12.030561952521362
acer,Chromebook,Intel,Celeron Dual,Unknown,4,DDR4,0,512,Windows,32-bit,0,Casual,15.6,0,False,False,23990,27000,11,3.3,61,4,1161.12,1306.8,11.15,512,HDD,Basic,Budget,58,0.17336709384042992
DELL,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,0,True,False,71999,72246,0,4.3,97,13,3484.75,3496.71,0.34,256,SSD,Basic,Mid-range,154,0.1196929478441782
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,39990,52990,24,4.4,181,19,1935.52,2564.72,24.53,256,SSD,Basic,Budget,242,0.41146565264115076
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,True,41998,56590,25,4.4,529,39,2032.7,2738.96,25.79,256,SSD,Basic,Mid-range,145,1.1450779751070006
ASUS,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,41990,52990,20,0.0,0,0,2032.32,2564.72,20.76,256,SSD,Basic,Mid-range,242,0.0
Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,2,False,True,39999,59999,33,0.0,0,0,1935.95,2903.95,33.33,256,SSD,Basic,Budget,145,0.0
ASUS,Commercial,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,39990,47990,16,0.0,0,0,1935.52,2322.72,16.67,256,SSD,Basic,Budget,242,0.0
Lenovo,Ideapad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,0,False,False,39998,60090,33,4.2,10,1,1935.9,2908.36,33.44,256,SSD,Basic,Budget,145,0.021695335502866883
HP,14s,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,42490,45892,7,4.4,5205,561,2056.52,2221.17,7.41,256,SSD,Basic,Mid-range,142,11.13628848734756
Lenovo,Unknown,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,41990,49800,15,3.7,3,0,2032.32,2410.32,15.68,256,SSD,Basic,Mid-range,145,0.005461738308927729
ASUS,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,48490,58990,17,0.0,0,0,2346.92,2855.12,17.8,256,SSD,Basic,Mid-range,242,0.0
HP,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,44376,45376,2,4.2,1090,96,2147.8,2196.2,2.2,256,SSD,Basic,Mid-range,142,2.1314833783406275
DELL,Unknown,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,43900,57095,23,0.0,0,0,2124.76,2763.4,23.11,256,SSD,Basic,Mid-range,154,0.0
DELL,INSPIRON,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,46690,57095,18,0.0,0,0,2259.8,2763.4,18.22,256,SSD,Basic,Mid-range,154,0.0
Lenovo,Unknown,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,0,False,False,40990,48900,16,5.0,1,1,1983.92,2366.76,16.18,256,SSD,Basic,Budget,145,0.0025202629138271703
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,39990,49821,19,4.0,44,2,1935.52,2411.34,19.73,256,SSD,Basic,Budget,154,0.09093163594279574
Lenovo,V15,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,0,False,False,43990,50250,12,0.0,0,0,2129.12,2432.1,12.46,256,SSD,Basic,Mid-range,145,0.0
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,36990,44990,17,4.5,70,9,1790.32,2177.52,17.78,256,SSD,Basic,Budget,242,0.17594619956208946
DELL,Unknown,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,1,False,False,48500,58493,17,0.0,0,0,2347.4,2831.06,17.08,256,SSD,Medium,Mid-range,154,0.0
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,0,False,False,48990,58990,16,0.0,0,0,2371.12,2855.12,16.95,256,SSD,Medium,Mid-range,242,0.0
ASUS,Chromebook,Intel,Celeron Dual,Unknown,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,0,False,False,23490,29990,21,4.2,632,92,1136.92,1451.52,21.67,512,HDD,Basic,Budget,242,2.334728916722373
HP,Pavilion,Intel,Core i3,8th,4,DDR4,256,0,Windows,64-bit,0,Casual,14.0,1,True,True,54238,0,0,4.4,71,8,2625.12,0.0,-inf,256,SSD,Basic,Mid-range,142,0.11900408362284393
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,False,False,37990,50990,25,4.3,990,108,1838.72,2467.92,25.5,512,SSD,Medium,Budget,242,2.315197528715628
HP,Unknown,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,42990,57330,25,4.4,158,18,2080.72,2774.77,25.01,512,SSD,Medium,Mid-range,142,0.3341151139990004
HP,Unknown,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,42990,49590,13,4.3,681,59,2080.72,2400.16,13.31,512,SSD,Medium,Mid-range,142,1.4073493790610943
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,False,False,35990,49990,28,4.4,130,12,1741.92,2419.52,28.01,512,SSD,Basic,Budget,242,0.3283732892440525
RedmiBook,15,Intel,Core i3,11th,8,DDR4,512,0,Windows,32-bit,0,ThinNlight,15.6,1,False,False,42990,55999,23,4.3,1063,152,2080.72,2710.35,23.23,512,SSD,Medium,Mid-range,3,2.1967876504286976
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14.0,1,False,False,42990,57990,25,4.3,30,4,2080.72,2806.72,25.87,512,SSD,Medium,Mid-range,242,0.06199777000269138
ASUS,VivoBook,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32-bit,0,Casual,14.0,1,True,True,51990,67990,23,4.7,6,2,2516.32,3290.72,23.53,512,SSD,Medium,Mid-range,242,0.01120684173713995
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,False,False,48990,62990,22,4.5,174,30,2371.12,3048.72,22.23,512,SSD,Medium,Mid-range,242,0.33022369175748173
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14.0,1,False,False,42990,57990,25,4.5,40,7,2080.72,2806.72,25.87,512,SSD,Medium,Mid-range,242,0.08650851628282519
Lenovo,Unknown,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,False,False,38990,62190,37,3.9,13,1,1887.12,3010.0,37.3,512,SSD,Medium,Budget,145,0.026866336004069694
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.96,0,False,False,45990,60908,24,4.3,184,29,2225.92,2947.95,24.49,512,SSD,Medium,Mid-range,154,0.35544853364002293
HP,Unknown,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,42490,50294,15,4.3,1296,126,2056.52,2434.23,15.52,512,SSD,Medium,Mid-range,142,2.7098204734211193
HP,Unknown,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,43970,50196,12,4.3,571,56,2128.15,2429.49,12.4,512,SSD,Medium,Mid-range,142,1.153725066372201
ASUS,Unknown,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,1,False,True,39990,49990,20,4.3,2551,297,1935.52,2419.52,20.0,512,SSD,Basic,Budget,242,5.6673658758369845
MSI,Unknown,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,48990,49590,1,4.5,17,3,2371.12,2400.16,1.21,512,SSD,Medium,Mid-range,50,0.032263234252167754
HP,Pavilion,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14.0,1,False,True,54990,69267,20,4.5,35,3,2661.52,3352.52,20.61,512,SSD,Medium,Mid-range,142,0.059176711052331
MSI,Unknown,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,40990,55990,26,4.4,118,17,1983.92,2709.92,26.79,512,SSD,Medium,Budget,50,0.2617041009718134
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.1,1,False,True,41990,55990,25,0.0,0,0,2032.32,2709.92,25.0,512,SSD,Medium,Mid-range,242,0.0
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.0,1,True,False,54990,79690,30,4.5,245,34,2661.52,3857.0,31.0,512,SSD,Medium,Mid-range,145,0.414236977366317
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14.0,1,False,True,44990,46390,3,4.4,2058,305,2177.52,2245.28,3.02,512,SSD,Medium,Mid-range,242,4.158492229692494
HP,Unknown,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,1,False,False,41250,46602,11,4.1,117,11,1996.5,2255.54,11.48,512,SSD,Medium,Budget,142,0.24027047332832455
HP,Unknown,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,14.0,0,False,False,44990,52900,14,0.0,0,0,2177.52,2560.36,14.95,512,SSD,Medium,Mid-range,142,0.0
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,Casual,14.0,1,False,False,42990,57990,25,4.7,74,11,2080.72,2806.72,25.87,512,SSD,Medium,Mid-range,242,0.16715367757314778
